Nome do Jogo,App ID,Tipo de Aplicativo,Desenvolvedor,Publicador,Franquia,Sistemas Suportados,Tecnologias Utilizadas,Última Atualização de Registro,Data de Lançamento,Link do Jogo
Knights of Pen and Paper +1,231740,Game,Behold Studios,Paradox Interactive,N/A,"Windows, macOS, Linux, , ",N/A,29 March 2024 – 11:29:49 UTC (),18 June 2013 (),https://steamdb.info/app/231740/
Euro Truck Simulator,232010,Game,SCS Software,SCS Software,SCS Software,"Windows, macOS, , ",N/A,7 May 2024 – 20:39:07 UTC (),6 August 2008 (),https://steamdb.info/app/232010/
Killing Floor 2,232090,Game,Tripwire Interactive,Tripwire Interactive,Tripwire Interactive,"Windows, , ",N/A,18 May 2024 – 19:26:33 UTC (),18 November 2016 – 14:08:00 UTC (),https://steamdb.info/app/232090/
Stronghold Crusader 2,232890,Game,FireFly Studios,FireFly Studios,Firefly Studios' Stronghold,"Windows, , ",N/A,1 March 2024 – 15:46:28 UTC (),22 September 2014 – 21:04:00 UTC (),https://steamdb.info/app/232890/
LUFTRAUSERS,233150,Game,Vlambeer,Devolver Digital,Devolver Digital,"Windows, macOS, Linux, , ",N/A,19 May 2024 – 04:15:35 UTC (),18 March 2014 – 16:44:08 UTC (),https://steamdb.info/app/233150/
MURDERED: SOUL SUSPECT™,233290,Game,Airtight Games,Square Enix,N/A,"Windows, , ",N/A,18 May 2024 – 01:27:05 UTC (),3 June 2014 (),https://steamdb.info/app/233290/
Prison Architect,233450,Game,"Double Eleven, Introversion Software",Paradox Interactive,Prison Architect,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:27:05 UTC (),6 October 2015 – 14:47:00 UTC (),https://stemdb.info/app/233450/,
Sword of the Stars: The Pit,233700,Game,Kerberos Productions,Kerberos Productions,N/A,"Windows, macOS, Linux",N/A,18 May 2024 – 01:27:05 UTC (),21 February 2013 (),https://steamdb.info/app/233700/
Teleglitch: Die More Edition,234390,Game,Test3 Projects,Paradox Interactive,N/A,"Windows, macOS, Linux, , ",N/A,7 March 2024 – 16:37:58 UTC (),24 July 2013 (),https://steamdb.info/app/234390/
Shadowrun Returns,234650,Game,Harebrained Schemes,Paradox Interactive,Shadowrun,"Windows, macOS, Linux, , ",N/A,7 April 2024 – 04:07:49 UTC (),25 July 2013 (),https://steamdb.info/app/234650/
Super Sanctum TD,235250,Game,Coffee Stain Studios,Coffee Stain Publishing,N/A,"Windows, macOS, , ",N/A,18 May 2024 – 01:27:05 UTC (),9 May 2013 (),https://steamdb.info/app/235250/
Europa Universalis IV,236850,Game,"Paradox Development Studio, Paradox Tinto",Paradox Interactive,Europa Universalis,"Windows, macOS, Linux, , ",N/A,16 May 2024 – 09:00:28 UTC (),13 August 2013 (),https://steamd.info/app/236850/,
Expeditions: Conquistador,237430,Game,Logic Artists,THQ Nordic,Expeditions,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:27:05 UTC (),30 May 2013 (),https://steamdb.info/app/237430/
Magicka 2,238370,Game,Pieces Interactive,Paradox Interactive,Magicka,"Windows, macOS, Linux, , ",N/A,7 March 2024 – 17:06:00 UTC (),26 May 2015 – 15:00:00 UTC (),https://steamdb.info/app/238370/
Bionic Dues,238910,Game,"Arcen Games, LLC","Arcen Games, LLC","Arcen Tactics, Arcenverse","Windows, macOS, Linux",N/A,1 March 2024 – 15:37:05 UTC (),8 October 2013 – 16:48:56 UTC (),https://steamdb.info/app/23890/,
Dying Light,239140,Game,Techland,Techland,Dying Light,"Windows, macOS, Linux, , ",N/A,9 May 2024 – 17:26:44 UTC (),27 January 2015 – 07:58:00 UTC (),https://steamdb.info/app/239140/
Thief,239160,Game,"Eidos-Montréal, Feral Interactive (Mac)","Eidos Interactive Corp., Feral Interactive (Mac)",Thief,"Windows, macOS, , ",N/A,18 May 2024 – 01:27:05 UTC (),27 February 2014 (),https://steamdb.inf/app/239160/,
Spelunky,239350,Game,Mossmouth,Mossmouth,N/A,"Windows, , ",N/A,18 May 2024 – 01:27:05 UTC (),8 August 2013 – 17:00:00 UTC (),https://steamdb.info/app/239350/
Rogue Legacy,241600,Game,Cellar Door Games,Cellar Door Games,N/A,"Windows, macOS, Linux, , ",N/A,1 March 2024 – 16:09:18 UTC (),27 June 2013 (),https://steamdb.info/app/241600/
Assassin's Creed IV Black Flag,242050,Game,Ubisoft Montreal,Ubisoft,Assassin's Creed,"Windows, , ",N/A,19 April 2024 – 23:14:04 UTC (),N/A,https://steamdb.info/app/242050/,"{""2022-06-16"": 39.59, ""2022-06-20"" 119.99, ""2022-06-23"": 39.59, ""2022-07-07"": 119.99, ""2022-08-11"": 39.59, ""2022-08-14"": 119.99, ""2022-09-29"": 35.99, ""2022-10-13"": 119.99, ""2022-11-22"": 39.59, ""2022-11-29"": 119.99, ""2022-12-15"": 39.59, ""2023-01-05"": 119.99, ""2023-03-02"": 39.59, ""2023-03-09"": 119.99, ""2023-03-16"": 39.59, ""2023-03-23"": 119.99, ""2023-04-17"": 39.59, ""2023-04-24"": 119.99, ""2023-06-08"": 35.99, ""2023-06-15"": 119.99, ""2023-06-29"": 35.99, ""2023-07-13"": 119.99, ""2023-07-24"": 35.99, ""2023-07-31"": 119.99, ""2023-09-03"": 35.99, ""2023-09-05"": 0, ""2023-09-12"": 119.99, ""2023-11-21"": 35.99, ""2023-11-28"": 119.99, ""2023-12-07"": 35.99, ""2023-12-14"": 119.99, ""2023-12-21"": 35.99, ""2024-01-04"": 119.99, ""2024-02-15"": 35.99, ""2024-02-29"": 119.99, ""2024-03-14"": 35.99, ""2024-03-21"": 119.99, ""2024-04-07"": 35.99, ""2024-04-14"": 119.99, ""2024-05-15"": 35.99}"
Anachronox,242940,Game,empty string,Square Enix,N/A,", ",N/A,18 May 2024 – 01:27:05 UTC (),17 October 2013 – 14:59:04 UTC (),https://steamdb.info/app/242940/
Blood Omen 2: Legacy of Kain,242960,Game,empty string,Crystal Dynamics,N/A,"Windows, , ",N/A,18 May 2024 – 01:27:05 UTC (),24 September 2013 – 13:04:00 UTC (),https://steamdb.info/app/242960/
Omikron - The Nomad Soul,243000,Game,Quantic Dream,Square Enix,N/A,"Windows, , ",N/A,18 May 2024 – 01:27:05 UTC (),26 September 2013 – 09:20:00 UTC (),https://steamdb.info/app/243000/
Watch_Dogs,243470,Game,Ubisoft,Ubisoft,WatchDogs Franchise,"Windows, , ",N/A,22 January 2024 – 11:39:34 UTC (),27 May 2014 – 17:00:00 UTC (),https://steamdb.info/app/243470/
"Invisible, Inc.",243970,Game,Klei Entertainment,Klei Entertainment,Klei Entertainment,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:27:05 UTC (),12 May 2015 – 16:49:00 UTC (),https://steamdb.info/app/243970/
Men of War: Assault Squad 2,244450,Game,Digitalmindsoft,Fulqrum Publishing,"Men of War, Fulqrum","Windows, , ",N/A,18 May 2024 – 01:27:05 UTC (),15 May 2014 – 19:00:00 UTC (),https://steamdb.info/app/244450/
Crypt of the NecroDancer,247080,Game,Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",Brace Yourself Games,"Windows, macOS, Linux, , ",N/A,7 May 2024 – 21:42:49 UTC (),23 April 2015 – 16:23:00 UTC(),https://steamdb.info/app/247080/,
Dysfunctional Systems: Learning to Manage Chaos,248800,Game,Dischan Media,Dischan Media,N/A,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:27:05 UTC (),26 September 2013 – 18:02:00 UTC (),https://steamdb.info/pp/248800/,
Risk of Rain (2013),248820,Game,Hopoo Games,Gearbox Publishing,Risk of Rain,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:27:05 UTC (),8 November 2013 – 17:10:00 UTC (),https://steamdb.info/app/248820/
