Nome do Jogo,App ID,Tipo de Aplicativo,Desenvolvedor,Publicador,Franquia,Sistemas Suportados,Tecnologias Utilizadas,Última Atualização de Registro,Data de Lançamento,Link do Jogo
Supreme Commander,9350,Game,Gas Powered Games,Square Enix,Supreme Commander,", ",N/A,30 April 2024 – 18:09:27 UTC (),29 September 2011 – 00:51:00 UTC (),https://steamdb.info/app/9350/
Supreme Commander: Forged Alliance,9420,Game,Gas Powered Games,Square Enix,Supreme Commander,", ",N/A,18 May 2024 – 01:28:57 UTC (),29 September 2011 – 00:51:00 UTC (),https://steamdb.info/app/9420/
Blade Kitten,9940,Game,Krome Studios,Krome Studios,N/A,"Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),22 May 2014 – 07:35:00 UTC (),https://steamdb.info/app/9940/
Larva Mortus,11340,Game,Meridian4,Meridian4,Meridian4,N/A,N/A,18 May 2024 – 01:28:57 UTC (),19 March 2009 – 18:30:00 UTC (),https://steamdb.info/app/11340/
Soldiers: Heroes of World War II,11480,Game,Best Way,Fulqrum Publishing,Fulqrum,Windows,N/A,18 May 2024 – 01:28:57 UTC (),3 July 2014 – 15:35:00 UTC (),https://steamdb.info/app/11480/
Max Payne 2: The Fall of Max Payne,12150,Game,Remedy Entertainment,Rockstar Games,N/A,"Windows, , ",N/A,5 March 2024 – 15:15:24 UTC (),4 January 2008 – 17:59:00 UTC (),https://steamdb.info/app/12150/
Bully: Scholarship Edition,12200,Game,Rockstar New England,Rockstar Games,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),21 October 2008 – 21:00:00 UTC (),https://steamdb.info/app/12200/
Grand Theft Auto IV: The Complete Edition,12210,Game,"Rockstar North, Rockstar Toronto",Rockstar Games,N/A,", ",N/A,16 May 2024 – 15:42:26 UTC (),2 December 2008 – 18:00:00 UTC (),https://steamdb.info/app/12210/
Sacred Gold,12320,Game,Studio II,THQ Nordic,Sacred,N/A,N/A,18 May 2024 – 01:28:57 UTC (),9 July 2008 – 07:00:00 UTC (),https://steamdb.info/app/12320/
FlatOut: Ultimate Carnage Collector's Edition,12360,Game,"Bugbear Entertainment, ZOOM Platform Media, Jordan Freeman Group",Strategy First,N/A,"Windows, , ",N/A,28 April 2024 – 09:59:03 UTC (),19 August 2008 – 0:00:00 UTC (),https://steamdb.info/app/12360/,
Audiosurf,12900,Game,Dylan Fitterer,N/A,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),15 February 2008 – 19:00:00 UTC (),https://steamdb.info/app/12900/
Prince of Persia: The Two Thrones,13530,Game,Ubisoft Montreal,Ubisoft,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),21 November 2008 – 08:00:00 UTC (),https://steamdb.info/app/13530/
Prince of Persia: The Sands of Time,13600,Game,Kudosoft,Ubisoft,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),21 November 2008 – 08:00:00 UTC (),https://steamdb.info/app/13600/
Heroes of Might & Magic V,15170,Game,Nival,Ubisoft,Might & Magic Franchise,", ",N/A,18 May 2024 – 01:28:57 UTC (),13 May 2008 – 07:00:00 UTC (),https://steamdb.info/app/15170/
Heroes of Might & Magic V: Tribes of the East,15370,Game,Nival,Ubisoft,Might & Magic Franchise,", ",N/A,18 May 2024 – 01:28:57 UTC (),10 October 2008 – 07:00:00 UTC (),https://steamdb.info/app/15370/
Sid Meier's Civilization IV: Colonization,16810,Game,Firaxis Games,2K,Sid Meier's Civilization,"Windows, macOS, , ",N/A,18 May 2024 – 01:28:57 UTC (),23 September 2008 – 19:00:00 UTC (),https://steamdb.info/app/6810/,
